Title,Year,Number of Songs,Film Director,Film Producer,Film cast,Lyricist,Music Director,Singer,External links,Watch Full Movie
Ghar Ghar Ki Kahani,(1971),5,T Prakash Rao,B Nagi Reddy,"Balraj Sahni, Nirupa Roy, Jagdeep, Gajanan Jagirdar, Rakesh Roshan, Omprakash, Bharti, Maruti, Parveen Paul",Hasrat Jaipuri,"Anandji, Kalyanji Veerji",Kishore Kumar,"https://www.imdb.com/title/tt0254354, http://en.wikipedia.org/wiki/Ghar_Ghar_Ki_Kahani","https://www.youtube.com/watch?v=rtKaASuNB00, https://www.youtube.com/watch?v=JcyCJuaQZOI"
Ghatak,(1996),6,Rajkumar Santoshi,Rajkumar Santoshi,"Sunny Deol, Meenakshi Seshadri, Danny Denzongpa, Mamta Kulkarni, Amrish Puri, Om Puri, K K Raina, Mukesh Rishi, Tinu Anand, Brijesh Tiwari, Amitabh Bachchan, Ganesh Acharya, Sheila Sharma, Anjan Srivastava, Viju Khote, Harish Patel, Suresh Bhagwat, Rohini Hattangadi, Navni Parihar, Brij Gopal, Rajeev Varma, Deep Dhillon, Ahmad Khan, Ashok, Sanjay Batra, Shiva, Makrand Deshpande, Santosh Gupta, Anil Yadav, Dev Malhotra, Pooja, Abdul Qayyoom Khan, Ila Arun",Majrooh Sultanpuri,R D Burman,"Asha Bhosle, Kavita Krishnamurthy, Alka Yagnik, Danny Denzongpa, Sadhna Sargam, Suresh Wadkar","https://www.imdb.com/title/tt0116407, http://en.wikipedia.org/wiki/Ghatak:_Lethal",https://www.youtube.com/watch?v=3HHD10CfNs8
Ghulami,(1985),5,J P Dutta,,"Dharmendra, Reena Roy, Smita Patil, Naseruddin Shah, Om Shiv Puri, Mithun Chakraborty, Anita Raaj, Kulbhushan Kharbanda, Bharat Kapoor, Mazhar Khan, Raza Murad",Gulzar,Laxmikant Pyarelal,"Lata Mangeshkar, Manhar Udhas, Shabbir Kumar, Suresh Wadkar","https://www.imdb.com/title/tt0089201, http://en.wikipedia.org/wiki/Ghulami","https://www.youtube.com/watch?v=E1xJogc9K0A, https://www.youtube.com/watch?v=drFZHlHUBB8"
God Tussi Great Ho,(2008),8,Rumi Jaffery,Afzal Khan,"Salman Khan, Priyanka Chopra, Amitabh Bachchan, Anupam Kher, Bina Kak, Rukhsar, Dalip Tahil, Sohail Khan, Satish Kaushik, Sanjay Mishra, Rajpal Yadav, Rajesh Puri, Upasna Singh, Abbas Ali Moghul, Rajesh Vivek, Puneet Issar, Shashi Kiran, Snehal Dhabi","Deven Shukla, Jalees Sherwani, Shabbir Ahmed","Sajid, Wajid","Alka Yagnik, Amrita Kak, Neeraj Shridhar, Shaan, Shankar Mahadevan, Shreya Ghoshal, Sonu Nigam, Sunidhi Chauhan, Udit Narayan, Wajid","https://www.imdb.com/title/tt0476550, http://en.wikipedia.org/wiki/God_Tussi_Great_Ho","https://www.youtube.com/watch?v=Sf7ld5lCf_o, https://www.youtube.com/watch?v=QRGmIV9K__E"
Golmaal,(1979),4,Hrishikesh Mukherjee,"Hrishikesh Mukherjee, N N Sippy","Amol Palekar, Bindiya Goswami, Utpal Dutt, David, Deven Verma, Om Parkesh, Dina Pathak, Amitabh Bachchan, Shobha Khote, Yunus Parvez, Rekha, Keshto Mukherjee, Aruna Irani, Anand, Harish, Anjan Srivastava, Zeenat Aman, Hema Malini, Moolchand, Montoo Singh, Asrani, Chandra Mohan, Pushpa, Bhola, Siddharth, Joshi, Anjan, Renu",Gulzar,"R D Burman, Sapan Chakravorty, Basu Chakraborty","Amit Kumar, Kishore Kumar, Lata Mangeshkar, R D Burman, Sapan Chakravarthy","https://www.imdb.com/title/tt0079221, http://en.wikipedia.org/wiki/Gol_Maal",
Golmaal - Fun Unlimited,(2006),10,Rohit Shetty,Dhillin Mehta,"Ajay Devgn, Tusshar Kapoor, Arshad Warsi, Sharman Joshi, Rimi Sen, Sushmita Mukherjee, Mukesh Tiwari, Sanjay Mishra, Manoj Joshi, Vrajesh Hirjee, Farid Amiri, Paresh Rawal, Anupam Shyam, Siddharth Jadhav","Kumar (1), Vishal Dadlani","Vishal Dadlani, Shekhar Ravjiani","Anushka Manchanda, Javed Ali, K K, Kunal Ganjawala, Shaan, Shekhar Ravjiani, Sneha Pant, Sunidhi Chauhan, Vishal Dadlani","https://www.imdb.com/title/tt0495034, http://en.wikipedia.org/wiki/Golmaal_-_Fun_Unlimited",
Golmaal Returns,(2008),9,Rohit Shetty,,"Ajay Devgn, Arshad Warsi, Shreyas Talpade, Tusshar Kapoor, Kareena Kapoor, Anjana Sukhani, Amrita Arora, Celina Jaitly, Sanjay Mishra, Ashwini Kalsekar, Murli Sharma, Vrajesh Hirjee, Sharat Saxena, Rakhi Vijan, Mukesh Tiwari, Ashish R Mohan, Upasna Singh, Robin Bhatt, Shereveer Vakil, Siddharth Jadhav","Ashiesh Pandit, Indie, Neeraj Shridhar, Sameer, Suzi Q","Ashiesh Pandit, Pritam Chakraborty","Akruti Kakkar, Anushka Manchanda, Anvesha Dutta, Benny Dayal, Earl, Indie, Monali, Neeraj Shridhar, Suhail Kaul, Suzi Q","https://www.imdb.com/title/tt1092005, http://en.wikipedia.org/wiki/Golmaal_Returns",
Gopal Krishna,(1979),6,Vijay Sharma,Tarachand Barjatya,"Sachin, Zarina Wahab, Paintal, Mahipal, Reeta Bhaduri, Jeevan, Manhar Desai, Sandeep",Ravindra Jain,Ravindra Jain,"Chandrani Mukherjee, Vijay Yesudas","https://www.imdb.com/title/tt0165805, http://en.wikipedia.org/wiki/Gopal_Krishna",
Gopi,(1970),6,A Bhim Singh,,"Dilip Kumar, Saira Banu, Pran, Farida Jalal, Om Parkesh, Mukri, Lalita Pawar, Nirupa Roy, Johnny Walker, Aruna Irani, Durga Khote",Rajendra Krishan,Kalyanji Anandji,"Lata Mangeshkar, Mahendra Kapoor, Mohammed Rafi","https://www.imdb.com/title/tt0141135, http://en.wikipedia.org/wiki/Gopi_%281970_film%29","https://www.youtube.com/watch?v=YVXyYiaTFS8, https://www.youtube.com/watch?v=4kWgcognAV4"
Gora Aur Kala,(1972),6,Naresh Kumar,Rajkumar Kohli,"Rajendra Kumar, Hema Malini, Rekha, Jagdeep, Prem Chopra, Madan Puri, Sunder, Premnath, Sulochana, Rajan Haksar, Kamal Deep, Ram Mohan",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Lata Mangeshkar, Mohammed Rafi, Mukesh, Usha Mangeshkar","https://www.imdb.com/title/tt0357710, http://en.wikipedia.org/wiki/Gora_Aur_Kala",https://www.youtube.com/watch?v=AYD-saJ9FjA
