Artists,Title,Rating,Number of Votes,Movie Title
"Anuradha Paudwal, Kumar Sanu",Dhire Dhire Se Meri Zindagi Men Aanaa,4.40,949,Aashiqui
Kumar Sanu,Sanso Ki Jarurat Hai Jaise,4.38,822,Aashiqui
Anuradha Paudwal,Ek Sanam Chahiye Aashiqui Ke Liye (Female),4.22,273,Aashiqui
Kumar Sanu,Dil Ka Aalam Main Kya Batau Tujhe,4.21,169,Aashiqui
"Anuradha Paudwal, Kumar Sanu","Tu Meri Zindagi Hai, Tu Meri Har Khushi Hai",4.15,254,Aashiqui
"Kumar Sanu, Anuradha Paudwal",Najar Ke Samne Jigar Ke Pas,4.08,175,Aashiqui
"Kumar Sanu, Anuradha Paudwal","Main Duniyaa Bhulaa Dungaa, Teri Chaahat Men",4.06,187,Aashiqui
"Kumar Sanu, Anuradha Paudwal","Ab Tere Bin Ji Lenge Ham, Zahar Zindagi Ka Pi Lenge Ham",3.97,215,Aashiqui
"Udit Narayan, Anuradha Paudwal",Mera Dil Tere Liye Dhadkta Hai,4.24,75,Aashiqui
"Anuradha Paudwal, Kumar Sanu","Janam Janeja Janam Janejahan, Tu Jo Mujhe Na Mila",3.90,52,Aashiqui
"Anuradha Paudwal, Kumar Sanu",Jaan-e-jigar Janeman (2),4.16,45,Aashiqui
"Arijit Singh, Palak Muchhal",Chahu Main Ya Na,4.42,3168,Aashiqui 2
"Palak Muchhal, Arijit Singh",Meri Aashiqi Ab Tum Hi Ho,4.40,1472,Aashiqui 2
Arijit Singh,Ab Tum Hi Ho (Ham Tere Bin Ab Rah Nahi Sakte),4.39,8943,Aashiqui 2
Mustafa Zahid,Bhula Dena Mujhe Hai Alvida Tujhe,4.39,2444,Aashiqui 2
Ankit Tiwari,Sun Raha Hai Na Tu Ro Raha Hu Main,4.39,3909,Aashiqui 2
Shreya Ghoshal,Sunn Raha Hai (Female),4.37,5584,Aashiqui 2
Arijit Singh,Aasan Nahi Yaha Aashiq Ho Jana,4.35,1392,Aashiqui 2
"Tulsi Kumar, Arijit Singh",Hum Mar Jayenge,4.35,1806,Aashiqui 2
Arijit Singh,Milne Hai Mujhse Aayi Phir Jane Kyun Tanhai,4.34,1140,Aashiqui 2
"K. K., Tulsi Kumar",Piya Aaye Na,4.36,999,Aashiqui 2
,Aashiqui 2 (Mashup),4.33,33,Aashiqui 2
,Aashiqui (The Love Theme),3.00,7,Aashiqui 2
Arijit Singh,Tum Hi Ho (Remix),2.33,3,Aashiqui 2
"Mohammed Rafi, Lata Mangeshkar","Teri Bindiyaa Re, Aaye Haaye Teri Bindiyaa Re",4.35,184,Abhimaan
"Kishore Kumar, Lata Mangeshkar",Tere Mere Milan Ki Ye Rainaa,4.33,242,Abhimaan
Kishore Kumar,Mit Na Mila Re Man Ka,4.32,159,Abhimaan
"Lata Mangeshkar, Manhar Udhas",Lute Koi Man Kaa Nagar Ban Ke Meraa Saathi,4.22,123,Abhimaan
Lata Mangeshkar,Ab To Hai Tumse Har Khushi Apani,4.16,122,Abhimaan
Lata Mangeshkar,"Piya Bina Piya Bina, Baasiya",4.46,59,Abhimaan
Lata Mangeshkar,Nadiya Kinare,4.31,81,Abhimaan
Lata Mangeshkar,Jaana Tha Hamse Dur Bahane Bana Liye,4.52,120,Adalat
Lata Mangeshkar,"Unko Ye Shikayat Hai Ke Ham, Kuchh Nahin Kahte",4.43,198,Adalat
Lata Mangeshkar,Yu Hasrato Ke Daag Mohabbat Me Dho Liye,4.38,251,Adalat
"Mohammed Rafi, Asha Bhosle",Zamin Se Hamen Aasamaan Par Bithaa Ke Giraa To Na Doge,4.45,94,Adalat
Asha Bhosle,Ja Re Ja Re Sajana (Asha),4.50,44,Adalat
"Asha Bhonsle, Lata Mangeshkar",Ja Ja Re Ja Sajna,4.26,27,Adalat
"Asha Bhosle, Geeta Dutt",Dupatta Mera Malmal Ka Rang Saleti Halka,4.14,29,Adalat
"Asha Bhosle, Mohammed Rafi",Jab Din Hasin Dil Ho Jawan,3.89,18,Adalat
Mohammed Rafi,Insaaf Ka Mandir Hai Ye Bhagavaan Ka Ghar Hai,4.47,1179,Amar
Lata Mangeshkar,Na Milta Gam To Barbadi Ke Afsaane Kaha Jate,4.44,1134,Amar
Lata Mangeshkar,Naa Shikwa Hai Koyi Naa Koyi Gila Hai,4.44,1247,Amar
Lata Mangeshkar,Tere Sadake Balam Na Kar Koi Gam,4.44,1573,Amar
Lata Mangeshkar,Umangon Ko Sakhi Pi Ki Nagariyaa Kaise Le Jaaun,4.42,1060,Amar
Lata Mangeshkar,Jaane Vaale Se Mulaqat Na Hone Paai,4.40,1149,Amar
Asha Bhosle,Ik Bat Kahu Mere Piya Sun Le,4.38,1087,Amar
Lata Mangeshkar,Khamosh Hai Khewanhar Mera,4.34,1026,Amar
Lata Mangeshkar,Uudi Uudi Chhaai Ghataa Jiyaa Laharaaye,4.47,49,Amar
Asha Bhosle,Radha Ke Pyare Krishina Kanhai,3.92,48,Amar
,Dance Music (Amar),4.56,9,Amar
Kishore Kumar,"Kuchh To Log Kahenge, Logo Ka Kaam Hai Kahana",4.50,227,Amar Prem
Kishore Kumar,"Ye Kya Hua, Kaise Hua, Kab Hua, Kyu Hua, Jab Hua, Tab Hua",4.50,450,Amar Prem
Sachin Dev Burman,Doli Mein Bithaai Ke Kahaar,4.39,57,Amar Prem
"Mohammed Rafi, Rajkumari",Aao Chalen Manwa More,3.63,24,Amar Prem
Kishore Kumar,Chingari Koi Bhadke,4.46,846,Amar Prem
Lata Mangeshkar,Rainaa Biti Jaaye Shyaam Naa Aaye,4.47,148,Amar Prem
Lata Mangeshkar,Bada Natakhat Hai Re Krishhn Kanhaiya,4.41,86,Amar Prem
Mukesh,Kahin Door Jab Din Dhal Jaye,4.45,2769,Anand
Manna Dey,Zindagi Kaisi Hai Paheli Haye,4.44,1172,Anand
Mukesh,Maine Tere Liye Hi Saat Rang Ke Sapne Chune,4.42,1026,Anand
Lata Mangeshkar,"Naa, Jiyaa Laage Naa Tere Binaa Meraa Kahin, Jiyaa Laage Naa",4.37,142,Anand
Amitabh Bachchan,Maut Tu Ek Kavitaa Hai,4.31,72,Anand
Mukesh,Kisi Ki Muskurahto Pe Ho Nisaar,4.48,1181,Anari
Lata Mangeshkar,Wo Chand Khila Wo Taare Hasse,4.48,106,Anari
Lata Mangeshkar,Ban Ke Panchhi Gaaye Pyar Ka Tarana,4.44,104,Anari
Lata Mangeshkar,"Tera Jaana, Dil Ke Armaano Ka Lut Jaana",4.42,239,Anari
Mukesh,Sab Kuchh Sikha Hamne Na Sikhi Hoshiyari,4.41,329,Anari
"Lata Mangeshkar, Mukesh","Dil Ki Nazar Se, Nazaro Ki Dil Se",4.39,118,Anari
"Lata Mangeshkar, Manna Dey","Nineteen Fifty Six, Nineteen Fifty Seven",4.33,39,Anari
Lata Mangeshkar,Muhabbat Aisi Dhadakan Hai Jo Samajhai Nahi Jaati,4.44,1155,Anarkali
Lata Mangeshkar,"Ye Zindagi Usi Ki Hai, Jo Kisi Ka Ho Gaya, Pyar Hi Me Kho Gaya",4.43,2016,Anarkali
"Lata Mangeshkar, Hemant Kumar","Jaag Dard-E-Ishq Jaag, Jaag Dard-E-Ishq Jaag",4.46,114,Anarkali
Lata Mangeshkar,Yeh Zindagi Usi Ki Hai Jo Kisi Ka Ho Gaya - Sad Version,4.46,366,Anarkali
Lata Mangeshkar,Aajaa Ab To Aajaa Meri Qismat Ke Karidaar,4.33,114,Anarkali
Lata Mangeshkar,"Dil Ki Lagi Hai Kya, Ye Kabhi Dil Lagake Dekh",4.55,78,Anarkali
Hemant Kumar,Zindagi Pyaar Ki Do Chaar Ghadi Hoti Hai,4.53,89,Anarkali
Lata Mangeshkar,Duaa Kar Gam E Dil Kudaa Se Duaa Kar,4.52,82,Anarkali
Lata Mangeshkar,"Zindagi Bebas Hui Hai, O Aasamaan Waale",4.50,76,Anarkali
Geeta Dutt,"Wafaa Ki Laaj Rah Jaayegi, Aa Jaan E Wafaa Aa",4.19,53,Anarkali
Hemant Kumar,Ai Bad Ae Saba Ahista Chal,4.42,43,Anarkali
Lata Mangeshkar,"Meri Taqadir Mujhe, Muhabbat Men Aise Qadam Dagamagaae",4.40,48,Anarkali
Kishore Kumar,Zindagi Ek Safar Hai Suhana,4.50,458,Andaz
"Mohammed Rafi, Pratibha, Suman Kalyanpur, Sushma Shrestha","Hai Naa Bolo Bolo, Paapaa Ko Mammi Se Pyar",3.61,460,Andaz
"Asha Bhosle, Mohammed Rafi","Dil Use Do Jo Jaan De De, Ye Pyar Ke Najare Hai Dekhlo Jidhar",4.39,89,Andaz
Asha Bhosle,Zindagi Ek Safar Hai Suhaana (Asha),4.01,78,Andaz
Mohammed Rafi,Sun Lo Sunaataa Hu Tumko Kahani,4.48,42,Andaz
Asha Bhosle,Mujhe Pyas Aisi Pyas Lagi Hai,4.60,15,Andaz
Mohammed Rafi,Hanste Gaate Jahaan Se Gujar,4.49,43,Andaz
Lata Mangeshkar,"Aap Ki Nazro Ne Samjha, Pyar Ke Kabil Mujhe",4.57,15294,Anpadh
Lata Mangeshkar,Hai Isi Me Pyar Ki Aabru,4.33,342,Anpadh
Lata Mangeshkar,Jiya Le Gayo Ji Mora Sanwariya,4.32,142,Anpadh
Lata Mangeshkar,Vo Dekho Jalaa Ghar Kisi Kaa,4.28,134,Anpadh
Mahendra Kapoor,Sikandar Ne Poras Se Ki Thi Ladai,4.14,51,Anpadh
Lata Mangeshkar,Rang Birangi Rakhi Leke Aayi Bahana,4.46,37,Anpadh
"Asha Bhosle, Mohammed Rafi",Dulhan Marwad Ki Aaaee Chham Chham,4.21,29,Anpadh
Kishore Kumar,"Mere Sapno Ki Raani, Kab Aayegi Tu",4.35,1331,Aradhana
Sachin Dev Burman,"Banegi Aashaa Ik Din, Kaahe Ko Roye (Safal Hogi Teri Aradhana)",4.48,127,Aradhana
"Lata Mangeshkar, Mohammed Rafi",Baghon Mein Bahar Hai,4.36,230,Aradhana
"Lata Mangeshkar, Kishore Kumar",Kora Kagaz Tha Yeh Man Mera,4.17,7522,Aradhana
Kishore Kumar,Roop Tera Mastana Pyar Mera Diwana,4.46,502,Aradhana
"Mohammed Rafi, Asha Bhosle",Gunagunaa Rahe Hain Bhanvare,4.38,211,Aradhana
Lata Mangeshkar,"Chandaa Hai Tu, Meraa Suraj Hai Tu",4.24,258,Aradhana
"Mukesh, Lata Mangeshkar",Dam Bhar Jo Udhar Munh Phere,4.49,1588,Awara
Mukesh,Ham Tujhse Mohabbat Karke Sanam,4.45,1115,Awara
Mukesh,Awaara Hoon Ya Gardish Mein Hoon Aasmaan,4.44,1170,Awara
Lata Mangeshkar,Aa Jao Tadapte Hain Arman,4.40,107,Awara
Lata Mangeshkar,Ghar Aaya Mera Pardesi,4.22,323,Awara
Lata Mangeshkar,Ek Bewfa Se Pyar Kiya,4.50,92,Awara
Lata Mangeshkar,Jabse Balam Ghar Aaye,4.48,94,Awara
"Manna Dey, Lata Mangeshkar",Tere Bina Aag Ye Chandni,4.36,85,Awara
Shamshad Begum,Ek Do Tin Aajaa Mausam Hai Rangin,4.69,42,Awara
"Mohammed Rafi, Lata Mangeshkar",Pativrta Sitamai Ko Tune Diya Banwas,4.52,27,Awara
Mohammed Rafi,"Naiya Teri Majhdhar, Hoshiyar Hoshiya",4.47,47,Awara
,Awara - Title Music,4.45,29,Awara
"Kishore Kumar, Lata Mangeshkar",Waada Karo Nahin Chhodogi,4.41,125,Aa Gale Lag Jaa
Kishore Kumar,Tera Mujhse Hai Pehle Ka Nata Koi (Male),4.40,210,Aa Gale Lag Jaa
Kishore Kumar,Ae Mere Bete Sun Mera Kahna,4.44,50,Aa Gale Lag Jaa
"Kishore Kumar, Sushma Shrestha",Aye Mere Bete (Duet),4.50,22,Aa Gale Lag Jaa
"Kishore Kumar, Sushma Shrestha",Tera Mujhse Hai Pehle Ka Nata Koi,4.24,45,Aa Gale Lag Jaa
Kishore Kumar,Na Koi Dil Mein Samaya,4.19,32,Aa Gale Lag Jaa
,Theme Music (Aa Gale Lag Jaa),4.75,4,Aa Gale Lag Jaa
,Title Music (Aa Gale Lag Jaa),4.33,3,Aa Gale Lag Jaa
"Lata Mangeshkar, Mukesh","Aaja Re, Ab Mera Dil Pukara",4.18,3704,Aah
Mukesh,"Chhoti Si Ye Zindgani Re, Char Din Ki Jawani Teri",4.57,110,Aah
Lata Mangeshkar,"Ye Sham Ki Tanhayiyan, Aise Me Tera Gham",4.48,237,Aah
Lata Mangeshkar,"Raajaa Ki Aayegi Baaraat, Rangili Hogi Raat",4.42,118,Aah
Lata Mangeshkar,Sunate The Naam Ham Jin Kaa Bahaar Se,4.63,82,Aah
Lata Mangeshkar,Jo Main Jaanati Unake Liye,4.56,54,Aah
Mukesh,"Raat Andheri Door Savera, Barbaad Hai Dil Mera",4.54,57,Aah
"Lata Mangeshkar, Mukesh",Jaane Na Najar Pehachaane Jigar,4.48,94,Aah
Mukesh,"Aaja Re, Ab Mera Dil Pukara, Ro Ro Ke Gam Bhi Hara - II",4.46,52,Aah
Lata Mangeshkar,Jhanan Jhanan Ghungharwa Baaje,4.44,32,Aah
Mukesh,Janaaza Dekhne Mera Nikal Aaye Aaja Re Ab Mera Dil Pukara (Part3),4.38,26,Aah
,Maiya Yashoda Ji Tohar Kanhiya,4.26,27,Aah
Lata Mangeshkar,Jo Main Janti Unke Liye (Sad - Slow Version),4.14,36,Aah
Jagjit Singh,Ye Daulat Bhi Le Lo (Woh Kagaz Ki Kashti),4.46,1216,Aaj
Jagjit Singh,Wo Kagaz Ki Kashti Wo Barish Ka Pani,4.27,52,Aaj
Jagjit Singh,Phir Aaj Mujhe Tumko Bas Itna Batana Hai,4.38,21,Aaj
Chitra Singh,"Rishta Yeh Kaisa Hai, Nata Ye Kaisa Hai",3.73,11,Aaj
"Junaid Akhtar, Ashok Khosla, Ghanshyam Vaswani, Vinod Sehgal",Zindagi Roj Naye Rang Mein,3.71,7,Aaj
Mohammed Rafi,Ye Vadiyan Ye Fizaen Bula Rahi Hain Tumhe,4.44,259,Aaj Aur Kal
"Asha Bhosle, Mohammed Rafi","Mujhe Gale Se Laga Lo, Bahut Udaas Hu Main (Duet)",4.59,61,Aaj Aur Kal
Mohammed Rafi,Itani Hasin Itani Javaan Raat Kyaa Karen,4.52,61,Aaj Aur Kal
Asha Bhosle,Mujhe Gale Se Laga Lo Bahut Udas Hu Main,4.58,24,Aaj Aur Kal
Asha Bhosle,"Mohe Chhedo Na Kanha Bajriya Me, Baat Phalegi Sari Nagriya Me",4.27,11,Aaj Aur Kal
Asha Bhosle,"Maut Kitni Bhi Sangdil Ho, Zindagi Se Toh Meharban Hogi",4.26,19,Aaj Aur Kal
"Shamshad Begum, Usha Mangeshkar",Kehte Hai Jisko Ishq Tabiyat Ki Baat Hai,4.08,12,Aaj Aur Kal
"Manna Dey, Geeta Dutt, Mohammed Rafi",Takht Na Hoga Taj Na Hoga Kal Tha Lekin Aaj Na Hoga,4.00,14,Aaj Aur Kal
"Mahendra Kapoor, Asha Bhosle",Raja Saheb Ghar Nahin,4.83,6,Aaj Aur Kal
"Lata Mangeshkar, Shabbir Kumar","Gori Hai Kalaayiya, Tu Laade Mujhe Hari Hari Chudiya",3.97,146,Aaj Ka Arjun
Lata Mangeshkar,Na Ja Re Yu Mujhe Chhodke,4.30,27,Aaj Ka Arjun
"Bappi Lahiri, Amit Kumar, Alka Yagnik",Chali Aana Tu Pan Ki Dukan Pe,4.71,17,Aaj Ka Arjun
"Mohammed Aziz, Kavita Krishnamurthy",Behana Ho Behana Mera Hi Nahi Re,4.50,4,Aaj Ka Arjun
Kavita Krishnamurthy,Chod Bhaiya Tujhe Teri Bahna Chali,4.50,4,Aaj Ka Arjun
"Alka Yagnik, Amrish Puri, Bappi Lahiri",Maashuka Maashuka Main Aisi Maashuka,4.50,4,Aaj Ka Arjun
Amit Kumar,Naa Ja Re (Male),4.50,4,Aaj Ka Arjun
Rahat Fateh Ali Khan,O Re Piya,4.35,104,Aaja Nachle
Sunidhi Chauhan,Aaja Nachle Nachle Mere Yaar Tu Nachle,4.19,274,Aaja Nachle
Sunidhi Chauhan,Aaja Nachle Nachle Mere Yaar Tu Nachle (Reprise),3.93,72,Aaja Nachle
"Shreya Ghoshal, Sonu Nigam",Ishq Hua Haaye,4.38,34,Aaja Nachle
"Shreya Ghoshal, Sonu Nigam, Sunidhi Chauhan",Koi Patthar Se Na Mare Mere Diwane Ko,4.00,27,Aaja Nachle
"Shreya Ghoshal, Sonu Nigam",Is Pal Main Hoon Ya Tum Bhi Ho,4.63,19,Aaja Nachle
"Kailash Kher, Richa Sharma, Salim Merchant",Show Me Your Jalwa,3.90,10,Aaja Nachle
Sonia Saigal,Dance With Me,4.17,6,Aaja Nachle
"Madhuri Dixit, Sukhwinder Singh, Sunidhi Chauhan",Soniye Mil Ja Mele Mein,4.00,4,Aaja Nachle
"Amit Kumar, Lata Mangeshkar",Dushman Na Kare Dost Ne Wo Kaam Kiyaa Hai,4.36,347,Aakhir Kyon
Asha Bhosle,Komal Hai Kamzor Nahi Hai Tu Shakti Ka Nam Hi Nari,4.35,151,Aakhir Kyon
Mohammed Aziz,Ek Andhera Laakh Sitaare,4.35,37,Aakhir Kyon
"Amit Kumar, Mohammed Aziz, Anuradha Paudwal",Saat Rang Main Khel Rahi,3.76,34,Aakhir Kyon
Lata Mangeshkar,Sham Huyi Chadh Aaye Re Badariya,4.36,14,Aakhir Kyon
Mohammed Rafi,Man Tadpat Hari Darshan Ko Aaj,4.46,1355,Baiju Bawra
Mohammed Rafi,O Duniya Ke Rakhwale,4.46,1430,Baiju Bawra
"Mohammed Rafi, Lata Mangeshkar",Akeli Mat Jaiyo Radhe Jamuna Ke Tir,4.44,1141,Baiju Bawra
"Shamshad Begum, Lata Mangeshkar",Dur Koi Gaae Dhun Ye Sunaae,4.44,1107,Baiju Bawra
Lata Mangeshkar,Mohe Bhul Gaye Sanwariya,4.44,1315,Baiju Bawra
Lata Mangeshkar,Bachapan Ki Mohabbat Ko Dil Se Na Judaa Karanaa,4.42,1304,Baiju Bawra
"Mohammed Rafi, Lata Mangeshkar",Jhule Men Pawan Ke Aai Bahaar,4.53,64,Baiju Bawra
Ustad Amir Khan,Raag Darbari Sargam,4.27,75,Baiju Bawra
"Ustad Amir Khan, D. V. Paluskar",Aaj Gaawat Mann Mero,4.46,41,Baiju Bawra
Mohammed Rafi,Nirdhan Kaa Ghar Lutane Vaalo Insaan Bano,4.44,45,Baiju Bawra
"D. V. Paluskar, Ustad Amir Khan",Tumhre Gun Gaaye,4.40,42,Baiju Bawra
Hridaynath Mangeshkar,Sacho Tero Naam Ram,4.29,24,Baiju Bawra
D. V. Paluskar,Tori Jay Jay Kartar,4.17,36,Baiju Bawra
Lata Mangeshkar,Jogi Jabse Tu Aaya Mere Dvare,4.56,146,Bandini
Lata Mangeshkar,"Moraa Goraa Ang Lai Le, Mohe Shaam Rang Dai De",4.51,147,Bandini
Mukesh,O Janewale Ho Sake Toh Laut Ke Aana,4.38,414,Bandini
Asha Bhosle,Ab Ke Baras Bhejo Bhaiya Ko Baabul,4.36,163,Bandini
Sachin Dev Burman,"O Re Maajhi, Mere Saajan Hain Us Paar",4.33,303,Bandini
Asha Bhosle,"Do Nainan Ke Milan Ko, O Panchhi Pyare",4.51,73,Bandini
Manna Dey,Mat Ro Mata Lal Tere Bahutere,4.51,90,Bandini
Mohammed Rafi,Zindagi Bhar Nahi Bhulegi Woh Barsaat Ki,4.46,1619,Barsaat Ki Raat
"Sudha Malhotra, Mohammed Rafi, Manna Dey, Asha Bhosle, S D Batish",Naa To Kaaravaan Ki Talaash Hai,4.30,1530,Barsaat Ki Raat
"Asha Bhosle, Manna Dey, Mohammed Rafi, Sudha Malhotra, S D Batish",Yeh Ishq Ishq Hai Ishq Ishq,4.49,124,Barsaat Ki Raat
Mohammed Rafi,"Maine Shaayad Tumhe, Pahle Bhi Kahi Dekha Hai",4.46,184,Barsaat Ki Raat
"Mohammed Rafi, Lata Mangeshkar",Zindagi Bhar Nahin Bhulegi,4.43,138,Barsaat Ki Raat
"Suman Kalyanpur, Kamal Barot",Garajat Barasat Saavan Aayo Re,3.69,322,Barsaat Ki Raat
Mohammed Rafi,Maayus To Hun Vaade Se Tere,4.52,79,Barsaat Ki Raat
Lata Mangeshkar,Mujhe Mil Gaya Bahana Teri Did Ka,4.34,76,Barsaat Ki Raat
"Sudha Malhotra, Asha Bhosle",Nigaah-E-Naaz Ke Maaro Ka Haal Kya Hoga,4.34,82,Barsaat Ki Raat
Mohammed Rafi,Kya Gham Jo Andheri Hain Raatein,4.59,22,Barsaat Ki Raat
"Balbir, Asha Bhosle, Sudha Malhotra",Na Khanjar Uthega Na Talvaar Tumse,4.37,27,Barsaat Ki Raat
Hemant Kumar,Beqaraar Karake Hamen Yun Na Jaaiye,4.42,212,Bees Saal Baad
Hemant Kumar,Zaraa Nazaron Se Kah Do Ji Nishaanaa Chuk Na Jaaye,4.41,394,Bees Saal Baad
Lata Mangeshkar,Kahin Deep Jale Kahin Dil,4.31,340,Bees Saal Baad
Lata Mangeshkar,Sapane Suhane Ladakapan Ke,4.61,74,Bees Saal Baad
Lata Mangeshkar,Ae Mohabbat Meri Duniya Mein,4.37,75,Bees Saal Baad
"Lata Mangeshkar, Shailendra Singh",Jhoot Bole Kauva Kaate,4.31,317,Bobby
Narendra Chanchal,Beshaq Mandir Masjid Todo,4.26,102,Bobby
"Shailendra Singh, Manna Dey",Na Mangu Sona Chandi,4.25,180,Bobby
Shailendra Singh,"Main Shaayar To Nahin, Magar Ai Hasin",4.24,326,Bobby
Lata Mangeshkar,"Ankhiyo Ko Rahne De, Ankhiyo Ke Aas Paas",4.22,202,Bobby
"Lata Mangeshkar, Shailendra Singh",Baahar Se Koi Andar Na Aa Sake,4.14,287,Bobby
"Shailendra Singh, Lata Mangeshkar",Mujhe Kuch Kehnaa Hai,4.06,102,Bobby
Lata Mangeshkar,Jo Karke Pyaar Yaar Kisi Ke Dil Me Basa,3.94,32,Bobby
"Chithra K S, Hariharan","Tu Hi Re, Tu Hi Re Tere Bina ,Main Kaise Jiyu",4.45,981,Bombay
Chithra K S,Kahna Hi Kya Ye Nain Ek Anjaan Se Jo Mile,4.19,127,Bombay
Remo Fernandes,Ek Ho Gaye Ham Aur Tum To Uad Gayi Nind Re,3.75,44,Bombay
,Theme Of Bombay,4.47,17,Bombay
Anupama Deshpande,Kuchh Bhi Na Socho,4.75,4,Bombay
"G V Prakash, Kavita Krishnamurthy, Udit Narayan",Kuchhi Kuchhi Rakmaa Sun Lo Tum,4.44,9,Bombay
Sonu Nigam,Bawari Piya Ki,4.15,20,Baabul
Kunal Ganjawala,Bebsi Dard Ka Aalam,4.10,20,Baabul
Jagjit Singh,Kehta Hai Babul O Meri Bitiya,4.08,39,Baabul
"Shreya Ghoshal, Sonu Nigam",Keh Rahaa Hai Dil Diwaanaa,4.05,22,Baabul
"Sudesh Bhosle, Kavita Krishnamurthy, Kailash Kher, Alka Yagnik",Ga Re Man Piya Piya Re,3.95,20,Baabul
Sonu Nigam,Jab Duwaye Maine Rab Se Mangi,3.15,20,Baabul
Richa Sharma,Babul Mora,2.79,14,Baabul
Kunal Ganjawala,Har Manjar Har Lamha,3.67,3,Baabul
"Aadesh Shrivastava, Amitabh Bachchan, Ranjit Barot, Sonu Nigam",Come On Come On Chalo Jashn Manaaye,2.50,2,Baabul
"Ranjit Barot, Aadesh Shrivastava, Vishal Dadlani, Sonu Nigam, Amitabh Bachchan",Come On (Remix),3.00,1,Baabul
Kunal Ganjawala,Har Manzar (Remix),3.00,1,Baabul
Lata Mangeshkar,"Ae Hawa Mere Sang Sang Chal, Mere Dil Me Hui Hal Chal",4.16,135,Babu
"Kishore Kumar, Asha Bhosle","Main Kunwari Albeli Ja Rahi Thi Kahi Akeli, Dank Margayo Re Papi Tataiya",4.03,65,Babu
Kishore Kumar,"Ye Mera Jivan Tere Liye Hai, Jiwan Ka Sapna Tere Liye Hai",4.29,34,Babu
"Kishore Kumar, Lata Mangeshkar",Aesi Rang De Piya Daag Na Lage Kabhi,4.07,30,Babu
Kishore Kumar,"Ye Mera Jivan Tere Liye Hai, Jiwan Ka Sapna Tere Liye Hai (Slow Version)",4.70,10,Babu
"Kishore Kumar, Alka Yagnik",Yeh Mera Jivan Tere Liye Hai (Duet),4.67,6,Babu
Alka Yagnik,Yeh Mera Jeevan (Female),4.25,4,Babu
"Talat Mahmood, Shamshad Begum",Milte Hi Aankhen Dil Hua Diwana Kisi Ka,4.39,801,Babul
Talat Mahmood,"Khushi Ke Sath Duniya Me, Mera Jeewan Saathi Bichhad Gaya Lo Khatam Kahani Ho",4.62,102,Babul
"Talat Mahmood, Shamshad Begum",Duniya Badal Gayi,4.72,58,Babul
"Talat Mahmood, Shamshad Begum, Mohammed Rafi",Nadi Kinare Sath Hamare,4.49,55,Babul
"Shamshad Begum, Mohammed Rafi, Talat Mahmood",Chhod Babul Ka Ghar Mohe Pi Ke Nagar,4.36,72,Babul
Talat Mahmood,Husn Walo Ko Naa Dil Do,4.71,38,Babul
Shamshad Begum,Jaadu Bhare Nainon Me Dole Jiyaa Teri Qasam,4.66,32,Babul
Lata Mangeshkar,Panchhi Ban Me Piya Piya Gane Laga,4.56,41,Babul
Shamshad Begum,Naa Socha Tha Yeh,4.48,42,Babul
"Mohammed Rafi, Talat Mahmood",Chod Baabul Ka Ghar (Sad Version),4.41,34,Babul
Shamshad Begum,Dhadke Mera Dil Mujhko,4.38,26,Babul
Lata Mangeshkar,Lagan More Man Ki Balam Nahin Jaane,4.19,32,Babul
"Lata Mangeshkar, Shamshad Begum","Huve Majabur Ham, Kisi Ke Dil Men Rahana Tha",4.17,48,Babul
"Shamshad Begum, Talat Mahmood",Chhod Babul Ka Ghar,4.16,49,Babul
"K. K., Shilpa Rao",Khuda Jaane Ke Main Fida Hu,4.35,82,Bachna Ae Haseeno
"K. K., Shilpa Rao",Khuda Jaane Ke Mai Fida Hu (2),4.32,22,Bachna Ae Haseeno
"Shreya Ghoshal, Lucky Ali",Aahista Aahista Mujhe Yakin Ho Gaya,4.29,31,Bachna Ae Haseeno
"Hard Kaur, Raja Hasan, Sunidhi Chauhan",Lucky Boy.... Jaane Kaun Banega Mera Lucky Boy,4.06,36,Bachna Ae Haseeno
"Sukhwinder Singh, Shekhar Ravjiani, Himani Kapoor",Jogi Maahi Heer Raanjhana,4.22,18,Bachna Ae Haseeno
Shankar Mahadevan,She Is A Small Town Girl,4.63,8,Bachna Ae Haseeno
Lata Mangeshkar,Unase Pyaar Ho Gayaa,4.48,267,Badal
Lata Mangeshkar,Duniya Badal Rahi Hai,4.59,54,Badal
Lata Mangeshkar,Do Din Ke Liye Mehman Yaha,4.55,73,Badal
"Mukesh, Lata Mangeshkar","Ai Dil Na Mujhase Chhupaa, Sacha Bataa, Kyaa Huaa",4.45,77,Badal
Lata Mangeshkar,Aaj Mane Na Mora Jiya,4.42,59,Badal
Mukesh,Mai Rahi Bhatkane Wala Hu,4.57,44,Badal
Lata Mangeshkar,O Anamol Pyaar Bin Mol Bike,4.54,35,Badal
Lata Mangeshkar,"Kushi To Qaid Men Hai, Rota Hai Mera Dil",4.31,39,Badal
"Poonam Bhatia, Rakesh Pandit, Sudesh Bhosle, Udit Narayan",Bade Miyan To Bade Miyan Chhote Miyan Subhan Allah,4.09,68,Bade Miyan Chote Miyan
"Alka Yagnik, Amit Kumar, Udit Narayan",Mere Pyar Ka Ras Jara Chakhna,4.18,28,Bade Miyan Chote Miyan
"Alka Yagnik, Udit Narayan",Kisi Disco Me Jaye,3.97,39,Bade Miyan Chote Miyan
